"","feature","variable","level","estimate","std.error","p.value","q.value","method"
"1","Tn916.orf13","IMC","IMC",0.17706753639579,0.0392991684154098,6.61761178412884e-06,0.000432571785671797,"CPLM"
"2","Tn916.orf14","IMC","IMC",0.184080642754145,0.0407978848264887,6.42148353279453e-06,0.000432571785671797,"CPLM"
"3","Tn916.orf15","IMC","IMC",0.185052594516348,0.0408475578148179,5.88938241631776e-06,0.000432571785671797,"CPLM"
"4","Tn916.orf16","IMC","IMC",0.185034755626321,0.0413007737373525,7.45813423572063e-06,0.000432571785671797,"CPLM"
"5","Tn916.orf17","IMC","IMC",0.18885034310106,0.0409178110176813,3.92418430893773e-06,0.000432571785671797,"CPLM"
"6","Tn916.orf18","IMC","IMC",0.178048972742964,0.0402512223974928,9.71404392820597e-06,0.000469512123196622,"CPLM"
"7","Tn916.orf19","IMC","IMC",0.171126185397944,0.0392451572389295,1.29800688111005e-05,0.000470527494402393,"CPLM"
"8","Tn916.orf9","IMC","IMC",0.167234511096332,0.0383422815539431,1.29102200746451e-05,0.000470527494402393,"CPLM"
"9","Tn916.orf6","IMC","IMC",0.16821489291055,0.0388140079781406,1.46510229331327e-05,0.000472088516734277,"CPLM"
"10","Tn916.orf20","IMC","IMC",0.172533495554576,0.0401080475926393,1.69479200165616e-05,0.000483714056984268,"CPLM"
"11","Tn916.orf8","IMC","IMC",0.169170698894129,0.0394880074712589,1.83477745752653e-05,0.000483714056984268,"CPLM"
"12","Int.Tn916","IMC","IMC",0.166207455603746,0.0408728036062508,4.77335018262734e-05,0.00115355962746828,"CPLM"
"13","Tn916.orf7","IMC","IMC",0.159318745281997,0.039535113431972,5.58234573372209e-05,0.00124529250983031,"CPLM"
"14","Tn916.orf5","IMC","IMC",0.155935216955317,0.0392101116102211,6.98155856534403e-05,0.00144617998853555,"CPLM"
"15","int2","OUT_GROUP","D",1.51947765070682,0.386756987122921,8.53829178100025e-05,0.00165073641099338,"CPLM"
"16","ColRNAI","OUT_GROUP","D",1.31176073345005,0.336687663011283,9.77637106433679e-05,0.00177196725541104,"CPLM"
"17","IS621","OUT_GROUP","D",1.51893901659886,0.395343159111053,0.00012199734965605,0.0020811312588385,"CPLM"
"18","Xis.Tn916","IMC","IMC",0.147217522181364,0.0402099725012431,0.000251017905879781,0.00404417737250758,"CPLM"
"19","ColRNAI","IMC","IMC",0.347621585896233,0.0997787285268166,0.000494118316829665,0.00754180588845279,"CPLM"
"20","IncFIB.AP001918.","BIL_INC_ATB","Yes",1.10706501172789,0.353911819397465,0.00175951389962542,0.0255129515445685,"CPLM"
"21","IS91","BIL_INC_ATB","Yes",0.56501894925999,0.182060554569289,0.001912674713796,0.02641312700004,"CPLM"
"22","ColRNAI","CERCLAGE","Yes",1.04557918498684,0.340785580320479,0.00215392900671999,0.0283927005431272,"CPLM"
"23","int2","BIL_INC_ATB","Yes",0.808511450168955,0.272593442654302,0.00301703011303356,0.0364557805324888,"CPLM"
"24","int2","DIABET_GESTA","Yes",-1.26597083928652,0.426605432206479,0.00300188286955735,0.0364557805324888,"CPLM"
"25","tnpA4","OUT_GROUP","D",1.24836226235516,0.432883920032058,0.00392874732305488,0.0455734689474366,"CPLM"
"26","IS91","DIABET_GESTA","Yes",-0.72958118013843,0.255355705368416,0.00427507941165677,0.0476835780530947,"CPLM"
"27","tnpA4","OUT_GROUP","C",1.20832892613518,0.425216267660594,0.00448763906716388,0.0482005677584268,"CPLM"
"28","IncFIB.AP001918.","OUT_GROUP","C",1.60783861157185,0.575400035681212,0.00520126799613192,0.0524976350126199,"CPLM"
"29","IncFIB.AP001918.","OUT_GROUP","D",1.57684193653141,0.564914154594884,0.00524976350126199,0.0524976350126199,"CPLM"
"30","IS621","DIABET_GESTA","Yes",-1.14186364377926,0.42437556746741,0.00713041427882795,0.0689273380286702,"CPLM"
"31","IncFIB.AP001918.","DIABET_GESTA","Yes",-1.69311652978185,0.65265306147503,0.00948096437850732,0.0885302612876868,"CPLM"
"32","IncFII","OUT_GROUP","D",1.53515022244448,0.594120117241408,0.00976885641795165,0.0885302612876868,"CPLM"
"33","tnpA","IMC","IMC",0.0965659969730149,0.0375446522725528,0.0101103935935369,0.0888489133977483,"CPLM"
"34","istB","DIABET_GESTA","Yes",-1.91496585472042,0.750302957666916,0.0107027588726828,0.091288237443471,"CPLM"
"35","IS621","BIL_INC_ATB","Yes",0.703587483061393,0.278503912567394,0.0115267408582257,0.0928543013579292,"CPLM"
"36","int2","OUT_GROUP","C",1.05059141928049,0.41545978995338,0.0114471512743064,0.0928543013579292,"CPLM"
"37","IS621","CERCLAGE","Yes",0.996274600037403,0.398646644103706,0.0124494389734918,0.0975766838462874,"CPLM"
"38","tnpA","CERCLAGE","Yes",0.337507590259345,0.135677425507431,0.0128617814878023,0.0981557008279651,"CPLM"
"39","istB","OUT_GROUP","D",1.13997234704212,0.474821696254629,0.0163573527187516,0.121631597139435,"CPLM"
"40","Tn916.orf18","CERCLAGE","Yes",0.383830818166526,0.160651653495434,0.0168845676225136,0.122413115263223,"CPLM"
"41","IS621","OUT_GROUP","C",0.95508256893926,0.415223113504326,0.0214387516797585,0.148029475884047,"CPLM"
"42","rep6","RCIU","Yes",1.02063271169039,0.442045873896019,0.0209500107666672,0.148029475884047,"CPLM"
"43","IncFIB.AP001918.","OUT_GROUP","B",1.31034902578628,0.58429111304814,0.0249206567438484,0.150562301160751,"CPLM"
"44","Tn916.orf13","OUT_GROUP","C",0.247482347648331,0.108766339188901,0.022884469533109,0.150562301160751,"CPLM"
"45","Tn916.orf20","CERCLAGE","Yes",0.371103249881994,0.164557504439462,0.0241233836759376,0.150562301160751,"CPLM"
"46","Tn916.orf9","PAT_AGE","PAT_AGE",-0.0915117624278443,0.0406047176863887,0.0242136362893161,0.150562301160751,"CPLM"
"47","int2","IMC","IMC",0.262830338397484,0.116908583700822,0.0245653694261263,0.150562301160751,"CPLM"
"48","rep9","OUT_GROUP","C",0.684304348319081,0.300748100515818,0.0228855087141881,0.150562301160751,"CPLM"
