feature;variable;level;estimate;std.error;p.value;q.value;method
ISBf10;CERCLAGE;Yes;0.191589143;0.032366657;3.23E-09;6.40E-07;CPLM
tnpA1.IS1068;HTA_PRE_ECLAM;Yes;-0.023809579;0.004297207;3.01E-08;2.98E-06;CPLM
tnpA1.IS1068;OUT_GROUP;D;-0.009842513;0.001801164;4.64E-08;3.06E-06;CPLM
integrase;IMC;IMC;0.12955347;0.024317531;9.95E-08;4.93E-06;CPLM
Tn916;IMC;IMC;0.132877294;0.034222093;0.000103264;0.002986917;CPLM
Xis.Tn916;IMC;IMC;0.154309455;0.039797604;0.000105598;0.002986917;CPLM
plasmid;OUT_GROUP;C;0.276495342;0.070182065;8.16E-05;0.002986917;CPLM
plasmid;IMC;IMC;0.091790109;0.025376339;0.000297861;0.007372056;CPLM
transposase;IMC;IMC;0.066566802;0.019128321;0.00050139;0.011030579;CPLM
IS621;OUT_GROUP;D;1.227645982;0.363783378;0.000739064;0.013362186;CPLM
integrase;OUT_GROUP;C;0.217069499;0.064808219;0.000809829;0.013362186;CPLM
plasmid;OUT_GROUP;D;0.24522963;0.073102468;0.000794795;0.013362186;CPLM
tnpA1.IS1068;OUT_GROUP;B;-0.005769528;0.001734094;0.000877505;0.013365072;CPLM
insertion_element_IS91;BIL_INC_ATB;Yes;0.531980432;0.165615134;0.001317462;0.017390496;CPLM
transposase;CERCLAGE;Yes;0.256337298;0.079702648;0.001299137;0.017390496;CPLM
plasmid;Type;SN;0.122865085;0.038796469;0.001540658;0.019065645;CPLM
plasmid;BIL_INC_ATB;Yes;0.173991972;0.055543732;0.001733113;0.020185675;CPLM
IS621;OUT_GROUP;C;1.135093544;0.36845772;0.002065413;0.021821744;CPLM
IncFIB.AP001918.;OUT_GROUP;C;1.477950029;0.480389649;0.002094006;0.021821744;CPLM
ISBf10;HTA_PRE_ECLAM;Yes;0.120127498;0.040091141;0.002732235;0.027049131;CPLM
IS621;BIL_INC_ATB;Yes;0.715985433;0.246936696;0.003737946;0.035243495;CPLM
IncFIB.AP001918.;BIL_INC_ATB;Yes;0.864750963;0.305782826;0.004684118;0.041518;CPLM
transposase;OUT_GROUP;C;0.146902357;0.052118219;0.004822798;0.041518;CPLM
IncFIB.Mar.;OUT_GROUP;C;0.011137232;0.004022996;0.005633359;0.043221021;CPLM
tnpAIS1;BIL_INC_ATB;Yes;0.269451275;0.097052358;0.005497307;0.043221021;CPLM
tnpAIS1;IMC;IMC;0.126946473;0.045895931;0.005675488;0.043221021;CPLM
integrase;BIL_INC_ATB;Yes;0.144293758;0.053542749;0.007040422;0.051629764;CPLM
IncFIB.Mar.;IMC;IMC;0.004174542;0.001564093;0.00760806;0.05263864;CPLM
insertion_element_IS91;IMC;IMC;0.191584838;0.071902044;0.0077097;0.05263864;CPLM
IncFIB.AP001918.;OUT_GROUP;D;1.209021402;0.481162051;0.011980728;0.071102626;CPLM
insertion_element_IS91;DIABET_GESTA;Yes;-0.569714985;0.225951318;0.011688694;0.071102626;CPLM
tnpA2.ISLL6;OUT_GROUP;B;-0.003901725;0.001547538;0.011693989;0.071102626;CPLM
tnpA2.ISLL6;HTA_PRE_ECLAM;Yes;-0.009122405;0.003640183;0.012209542;0.071102626;CPLM
transposase;BIL_INC_ATB;Yes;0.106302118;0.042391376;0.012154197;0.071102626;CPLM
IncFIB.AP001918.;IMC;IMC;0.347976685;0.139437521;0.012575344;0.071140517;CPLM
IncFIB.AP001918.;DIABET_GESTA;Yes;-1.244579944;0.501790015;0.01312791;0.072203503;CPLM
IS621;DIABET_GESTA;Yes;-0.856445116;0.352942931;0.015241787;0.081564159;CPLM
insertion_element_IS91;CERCLAGE;Yes;0.606270922;0.250984951;0.015710739;0.081861221;CPLM
tnpA2.ISLL6;RCIU;Yes;-0.005489043;0.002283466;0.016224749;0.082371804;CPLM
tnpA2.ISLL6;OUT_GROUP;C;0.003510866;0.001499976;0.019252026;0.095297529;CPLM
integrase;CERCLAGE;Yes;0.24460672;0.106631934;0.021794236;0.105250212;CPLM
istA;Type;SN;-1.596612414;0.717322724;0.026028002;0.122703436;CPLM
IS621;CERCLAGE;Yes;0.75410444;0.34388152;0.02831319;0.127409355;CPLM
insertion_element_IS91;Type;SN;-0.334974068;0.152432341;0.027982885;0.127409355;CPLM
IncFIB.AP001918.;OUT_GROUP;B;1.068405211;0.498287366;0.032020491;0.137827332;CPLM
istA;IMC;IMC;0.48184378;0.224371892;0.031751675;0.137827332;CPLM
tnpA2.ISLL6;BIL_INC_ATB;Yes;0.002575008;0.001219698;0.034756429;0.146420701;CPLM
insertion_element_IS91;OUT_GROUP;C;0.431517581;0.215368936;0.045110745;0.186081824;CPLM
tnpAIS1;CERCLAGE;Yes;0.445845733;0.227482589;0.050006139;0.202065624;CPLM
IncFIB.Mar.;RCIU;Yes;-0.011836879;0.006087041;0.051822759;0.205218125;CPLM
IS621;IMC;IMC;0.202662348;0.112670412;0.072063229;0.269734402;CPLM
Tn916;CERCLAGE;Yes;0.250252638;0.139254635;0.072321874;0.269734402;CPLM
tnpAIS1;RCIU;Yes;-0.32791875;0.183264855;0.073563928;0.269734402;CPLM
transposase;OUT_GROUP;D;0.101192398;0.055783649;0.069675357;0.269734402;CPLM
Xis.Tn916;OUT_GROUP;C;0.198013329;0.112354311;0.0780016;0.280805761;CPLM
IncFIB.Mar.;PAT_AGE;PAT_AGE;-0.002559906;0.001489493;0.085679469;0.302938122;CPLM
Xis.Tn916;CERCLAGE;Yes;0.276055445;0.163152742;0.090644799;0.314871406;CPLM
Tn916;PAT_AGE;PAT_AGE;-0.058808936;0.036190347;0.104164787;0.342500697;CPLM
integrase;PAT_AGE;PAT_AGE;-0.038438077;0.023746677;0.105517891;0.342500697;CPLM
plasmid;CERCLAGE;Yes;0.19283117;0.118605903;0.103989171;0.342500697;CPLM
tnpA2.ISLL6;DIABET_GESTA;Yes;-0.002304367;0.001415784;0.1036043;0.342500697;CPLM
Tn916;OUT_GROUP;C;0.153473713;0.096054142;0.110091189;0.35158154;CPLM
