"feature","variable","level","estimate","std.error","p.value","q.value","method"
"Tn916.orf6","CST","III",0.455604524032081,0.0514835607251872,8.79007375198263e-19,2.42606035554721e-16,"CPLM"
"Tn916.orf8","CST","III",0.438480017010213,0.0511674647414764,1.03927774231628e-17,1.43420328439647e-15,"CPLM"
"Tn916.orf6","CST","IV",0.443526836738791,0.055565969581611,1.43996410475055e-15,1.32476697637051e-13,"CPLM"
"Tn916.orf17","CST","III",0.380435318005244,0.0481972334797137,2.94294378290122e-15,2.03063121020184e-13,"CPLM"
"Tn916.orf18","CST","III",0.359828310509128,0.0472186614698602,2.52757133865483e-14,1.39521937893747e-12,"CPLM"
"Tn916.orf9","CST","III",0.344267205197257,0.0462691396778885,1.00277490222105e-13,4.61276455021681e-12,"CPLM"
"Tn916.orf7","CST","III",0.342263981927931,0.0462198200399363,1.31017654250303e-13,5.16583893901195e-12,"CPLM"
"Tn916.orf19","CST","III",0.420481440169395,0.0580370099036398,4.32257635371056e-13,1.49128884203014e-11,"CPLM"
"Tn916.orf14","CST","III",0.31472145006233,0.0448853139311986,2.35473586047669e-12,7.14741785708818e-11,"CPLM"
"Tn916.orf8","CST","IV",0.392573161208291,0.0560949723612276,2.58964415111891e-12,7.14741785708818e-11,"CPLM"
"Xis.Tn916","CST","III",0.534285724426448,0.0777906639737736,6.49942696174986e-12,1.63076531040269e-10,"CPLM"
"Tn916.orf20","CST","III",0.296256391065143,0.0440489127826746,1.74842446567195e-11,4.02137627104549e-10,"CPLM"
"Tn916.orf5","CST","III",0.369137290015053,0.0554634002238247,2.82316755873362e-11,5.99380189392677e-10,"CPLM"
"Tn916.orf13","CST","III",0.283331847442215,0.0427034262862979,3.24780123333438e-11,6.40280814571635e-10,"CPLM"
"Tn916.orf13","CST","IV",0.290539723920077,0.0452540727426923,1.36104785867883e-10,2.50432805996905e-09,"CPLM"
"Tn916.orf9","CST","IV",0.320399609177581,0.0502828336922282,1.86641990632291e-10,3.21957433840702e-09,"CPLM"
"Tn916.orf7","CST","IV",0.307708559085082,0.0500332108901649,7.74408544100747e-10,1.25727504806945e-08,"CPLM"
"Int.Tn916","CST","III",0.260729537656395,0.0426926926327043,1.01442875430849e-09,1.55545742327302e-08,"CPLM"
"Tn916.orf15","CST","III",0.250590928656329,0.0412813802113727,1.27660618327143e-09,1.85443845569955e-08,"CPLM"
"Tn916.orf17","CST","IV",0.319803563435651,0.053543112314078,2.33182032728197e-09,3.21791205164912e-08,"CPLM"
"Tn916.orf18","CST","IV",0.295597049949081,0.0522436966930427,1.53109333500514e-08,2.01229409743533e-07,"CPLM"
"Tn916.orf16","CST","III",0.226610491605345,0.0401091160061086,1.60587843844064e-08,2.01464749549825e-07,"CPLM"
"Tn916.orf19","CST","IV",0.353713030349106,0.0644674032193564,4.09521463083049e-08,4.91425755699658e-07,"CPLM"
"Xis.Tn916","CST","IV",0.468089818176883,0.085994334766872,5.23131925000493e-08,6.01601713750566e-07,"CPLM"
"Tn916.orf14","CST","IV",0.257423617354101,0.0490787900816409,1.56189722313783e-07,1.72433453434416e-06,"CPLM"
"Tn916.orf5","CST","IV",0.319544266986406,0.0614242939185012,1.96894710639122e-07,2.09011308216914e-06,"CPLM"
"Tn916.orf20","CST","IV",0.238668019832337,0.0483622118503719,8.01464772630191e-07,8.19275100910862e-06,"CPLM"
"Int.Tn916","CST","IV",0.219657443666427,0.0462410126346092,2.03142001278247e-06,2.00239972688558e-05,"CPLM"
"Tn916.orf8","CST","II",0.403669616756474,0.0890073724355395,5.75385676999337e-06,5.47608437420059e-05,"CPLM"
"Tn916.orf15","CST","IV",0.19512896709538,0.0450373340120432,1.47355516774391e-05,0.000132245717156214,"CPLM"
"Tn916.orf6","CST","II",0.395639566380056,0.0913538540469997,1.48536856226182e-05,0.000132245717156214,"CPLM"
"int3","CST","II",1.70895916141384,0.407962116309425,2.80168679181485e-05,0.000241645485794031,"CPLM"
"Tn916.orf16","CST","IV",0.180210867296304,0.043404314988662,3.297100113195e-05,0.000275757464012673,"CPLM"
"tnpAB","CST","IV",1.33779692881214,0.323324786336037,3.50918289720099e-05,0.000284863082243374,"CPLM"
"Col.MG828.","CST","II",1.07156268735807,0.264771876487237,5.1852389751093e-05,0.000390296233352811,"CPLM"
"tnpAB","CST","II",1.66676683087061,0.410751060742781,4.95262302824725e-05,0.000390296233352811,"CPLM"
"tnpAIS1","CST","II",1.90556999690496,0.471092287558616,5.23223211378768e-05,0.000390296233352811,"CPLM"
"Tn916.orf6","CST","V",0.387310500765039,0.0959913372107218,5.46375450397014e-05,0.000396841116604147,"CPLM"
"Tn916.orf9","CST","II",0.3163445518895,0.0793726626530038,6.73210105725394e-05,0.000476425613282586,"CPLM"
"int3","CST","IV",1.30250877166076,0.331410925725225,8.48778409674033e-05,0.000585657102675083,"CPLM"
"Tn916.orf7","CST","II",0.317215757315126,0.0815618001443979,0.000100546741344808,0.000676851234418705,"CPLM"
"ISSfl3","CST","IV",1.06623266423246,0.275149186807479,0.000106577659974675,0.000700367479833576,"CPLM"
"tnpA","CST","II",0.0902937024629623,0.023656508073954,0.000135157962541688,0.000867525527011763,"CPLM"
"ColRNAI","CST","IV",0.911557584099888,0.246297063387282,0.000214709716920039,0.00134681549704388,"CPLM"
"IS679","CST","IV",0.879353692315528,0.242490559963241,0.00028746462035219,0.0017631163381601,"CPLM"
"ISCR1","CST","IV",0.815616777115898,0.229505955990853,0.000379717221572454,0.00227830332943473,"CPLM"
"IS621","CST","IV",0.664728346744237,0.189113905242397,0.000439815549681409,0.00258274663217168,"CPLM"
"Tn916.orf13","CST","II",0.250856568258987,0.0720230319476125,0.000495819416133892,0.00284004931186178,"CPLM"
"Tn916.orf8","CST","V",0.338444802408579,0.0974245830963415,0.00051292188721581,0.00284004931186178,"CPLM"
"rep22","CST","IV",0.990398597805982,0.285163480686512,0.000514501686931483,0.00284004931186178,"CPLM"
"Col.MG828.","CST","IV",0.556634894149735,0.163472497233863,0.000661476914368875,0.00357975741893744,"CPLM"
"rep13","CST","II",1.10819778068422,0.327736845450632,0.000721267589764199,0.00382826643797921,"CPLM"
"istB1","CST","V",1.51015072445031,0.45146559241425,0.000822836758007248,0.00428496123037737,"CPLM"
"ISCR1","CST","II",1.08998509149129,0.339225168274248,0.00131282660967421,0.0065880026230924,"CPLM"
"tnpA4","CST","IV",0.685773250487678,0.213181650445041,0.00129606641409338,0.0065880026230924,"CPLM"
"tnpA7","CST","IV",0.826434736371344,0.258495162223014,0.00138817065996728,0.00684169825269587,"CPLM"
"Col156","CST","IV",0.89252322611899,0.280624145407196,0.00147024517602733,0.00711908190497446,"CPLM"
"IncFIB.AP001918.","CST","IV",0.774738852289782,0.244078249311591,0.00150280510736196,0.00715127947641207,"CPLM"
"istB1","CST","IV",1.18334693569183,0.3735607806292,0.00153623884260019,0.00718647322979072,"CPLM"
"rep6","CST","III",0.718238670139583,0.227369600593853,0.00158363815197059,0.00728473549906471,"CPLM"
"ColRNAI","CST","II",1.03975685466859,0.332317463213019,0.00175518182071175,0.00794147840190889,"CPLM"
"IncFII","CST","IV",0.85744082302361,0.276355275727254,0.00191779612210208,0.00835015960392789,"CPLM"
"int2","CST","IV",0.515907642019954,0.166430548159954,0.00193626889366444,0.00835015960392789,"CPLM"
"rep9","CST","III",0.560478895343207,0.180370741584971,0.00188759050252898,0.00835015960392789,"CPLM"
"Col.MG828.","CST","III",0.56051725340646,0.181912393991214,0.00206134678120766,0.00875279556328176,"CPLM"
"tnpA4","CST","III",0.651929507710801,0.21496551881095,0.00242363055233426,0.0101351823097615,"CPLM"
"Tn916.orf17","CST","II",0.286053846859813,0.0946954611376699,0.00252127185943148,0.0103861348239267,"CPLM"
"qacEdelta","CST","III",0.971205350722055,0.323113099379698,0.00264904735324687,0.0107520157278844,"CPLM"
"tnpA.IS683","CST","II",1.41349352934993,0.471014946432623,0.00269136453767266,0.0107654581506906,"CPLM"
"Tn916.orf18","CST","V",0.275113518780767,0.0920912839874259,0.00281361155442624,0.0109829529486143,"CPLM"
"tnpAIS1","CST","IV",1.23692370301014,0.414222988625892,0.00282532485272324,0.0109829529486143,"CPLM"
"Int.Tn916","CST","II",0.220379480722485,0.0740249654588784,0.0029099220839706,0.0111547013218873,"CPLM"
"int3","CST","V",1.39360013348727,0.475588739430367,0.00338675120969472,0.0128047032037773,"CPLM"
"Tn916.orf18","CST","II",0.26129763536581,0.0900080171813765,0.00369549453115019,0.0133627353289013,"CPLM"
"Tn916.orf7","CST","V",0.27046276347974,0.0932532475607497,0.00372800949393261,0.0133627353289013,"CPLM"
"rep5","CST","II",0.841036220883971,0.289858765421713,0.00371335745695622,0.0133627353289013,"CPLM"
"tniA","CST","II",0.862909447891013,0.296384791387429,0.00359755686645116,0.0133627353289013,"CPLM"
"tnpA10","CST","IV",1.13011665461544,0.401851996412018,0.00491930612011379,0.0174067755019411,"CPLM"
"Xis.Tn916","CST","II",0.427358743163589,0.152347376454661,0.00502916323137479,0.0175702411627778,"CPLM"
"IS679","CST","III",0.722395149657467,0.260214792710375,0.00550069197737542,0.0185778416797182,"CPLM"
