Name;Lactobacillus_crispatus;Escherichia_coli;Enterococcus_faecalis;Lactobacillus_iners;Gardnerella_vaginalis;Citrobacter_koseri;Klebsiella_pneumoniae;Lactobacillus_gasseri;Lactobacillus_jensenii;Gardnerella_leopoldii;Bifidobacterium_breve;Enterobacter_asburiae;Gardnerella_swidsinskii;Fannyhessea_vaginae;Proteus_vulgaris;Streptococcus_agalactiae;Prevotella_bivia;Citrobacter_freundii;Gardnerella_piotii;Staphylococcus_haemolyticus;lsa(C);tet(M);erm(B);aph(3')-III;lsa(A);cfxA3;mef(A);msr(D);blaTEM-1B;erm(A);tet(Q);erm(X);lnu(C);erm(F);ant(6)-Ia;blaTEM-116;aph(3'')-Ib;mre(A);aph(6)-Id;fosA;sul2;mph(C);fosB;blaMAL-1;tet(W);tet(O);tet(L);tet(A);fosA7;erm(C);blaZ;cfxA;dfrA1;dfrA17;sul1;tet(B);tet(O/32/O);blaTEM-1A;OqxA;lnu(A);catA2;OqxB;cfxA4;bleO;dfrG;cat;msr(A);tet(O/W);blaTEM-1C;qnrS1
Lactobacillus_crispatus;1;0.036;0.006;0.002;0.2278;0.001;0.6404;0.001;0.001;0.2358;0.6034;0.0689;0.2388;0.002;0.001;0.007;0.0839;0.001;0.8531;0.024;0.001;0.039;0.4126;0.3077;0.002;0.001;0.4965;0.6234;0.8242;0.4835;0.006;0.8202;0.0929;0.7892;0.2338;0.019;0.8771;0.5844;0.8821;0.3686;0.954;0.1588;0.6943;0.038;0.8462;0.04;0.6464;0.7183;0.1518;0.3337;0.1518;0.8192;0.8462;0.042;0.6444;0.7532;0.957;0.8182;0.5794;0.0619;0.6284;0.4286;0.7143;0.039;0.4565;0.2837;0.3836;0.0809;0.7033;0.5984
Escherichia_coli;0.036;1;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.964;0.001;0.001;0.001;0.004;0.011;0.3926;0.001;0.001;0.001;0.001;0.001;0.1449;0.952;0.001;0.7582;0.001;0.001;0.001;0.007;0.5105;0.6044;0.004;0.0899;0.1968;0.2488;0.001;0.4376;0.001;0.001;0.001;0.2937;0.01;0.004;0.003;0.008;0.1918;0.001;0.1319;0.3287;0.4306;0.033;0.008;0.001;0.001;0.001;0.1209;0.001;0.001;0.1209;0.2248;0.001;0.002;0.6893;0.3267;0.5235;0.008;0.002;0.8751;0.2577
Enterococcus_faecalis;0.006;0.001;1;0.6943;0.001;0.013;0.1089;0.2438;0.0659;0.001;0.99;0.2358;0.001;0.001;0.0559;0.001;0.044;0.2028;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.006;0.2507;0.1528;0.001;0.7293;0.006;0.009;0.001;0.001;0.4865;0.2128;0.7333;0.6024;0.3047;0.001;0.001;0.6743;0.001;0.038;0.8981;0.2228;0.2368;0.9261;0.001;0.001;0.009;0.002;0.5335;0.2877;0.001;0.003;0.2068;0.001;0.003;0.8292;0.001;0.4136;0.001;0.7672;0.001;0.001;0.001;0.001
Lactobacillus_iners;0.002;0.001;0.6943;1;0.001;0.001;0.001;0.01;0.001;0.025;0.001;0.001;0.0859;0.001;0.4575;0.7453;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.3337;0.001;0.002;0.9311;0.8242;0.001;0.1648;0.003;0.003;0.2008;0.1469;0.021;0.7053;0.001;0.005;0.001;0.002;0.001;0.7522;0.3317;0.6843;0.4286;0.3946;0.7562;0.002;0.1628;0.5465;0.7772;0.8422;0.5305;0.5285;0.5824;0.8012;0.5654;0.5155;0.008;0.3876;0.1538;0.009;0.003;0.7762;0.1029;0.0979;0.7043;0.1069;0.4406;0.5764
Gardnerella_vaginalis;0.2278;0.001;0.001;0.001;1;0.001;0.001;0.001;0.001;0.001;0.036;0.001;0.001;0.001;0.036;0.4006;0.001;0.001;0.001;0.001;0.001;0.001;0.004;0.002;0.001;0.014;0.001;0.001;0.001;0.9041;0.009;0.003;0.1029;0.4895;0.001;0.037;0.001;0.001;0.001;0.001;0.001;0.001;0.012;0.01;0.1369;0.05;0.3297;0.001;0.045;0.04;0.001;0.967;0.001;0.001;0.001;0.024;0.2258;0.011;0.001;0.1538;0.019;0.001;0.9491;0.006;0.003;0.0909;0.005;0.6983;0.017;0.011
Citrobacter_koseri;0.001;0.001;0.013;0.001;0.001;1;0.001;0.001;0.001;0.001;0.006;0.001;0.001;0.001;0.001;0.005;0.2857;0.001;0.001;0.9011;0.001;0.001;0.018;0.4905;0.002;0.1229;0.004;0.005;0.001;0.024;0.002;0.02;0.3267;0.039;0.0829;0.3686;0.001;0.5954;0.001;0.001;0.001;0.038;0.0599;0.001;0.02;0.0649;0.023;0.001;0.001;0.3377;0.3776;0.4426;0.046;0.004;0.001;0.029;0.1319;0.002;0.001;0.971;0.011;0.001;0.3497;0.2258;0.5844;0.007;0.1598;0.3806;0.2328;0.0729
Klebsiella_pneumoniae;0.6404;0.001;0.1089;0.001;0.001;0.001;1;0.029;0.1269;0.001;0.021;0.001;0.001;0.001;0.015;0.001;0.001;0.001;0.001;0.6763;0.001;0.002;0.003;0.6034;0.031;0.008;0.004;0.005;0.001;0.002;0.002;0.9341;0.7902;0.021;0.6683;0.3407;0.001;0.9271;0.001;0.001;0.001;0.1309;0.3147;0.001;0.013;0.005;0.0789;0.001;0.001;0.6743;0.982;0.006;0.1489;0.001;0.001;0.003;0.0589;0.012;0.001;0.7463;0.032;0.001;0.5025;0.2977;0.8821;0.4416;0.015;0.7223;0.8981;0.1219
Lactobacillus_gasseri;0.001;0.001;0.2438;0.01;0.001;0.001;0.029;1;0.001;0.001;0.001;0.001;0.001;0.3017;0.001;0.7612;0.006;0.001;0.001;0.1678;0.4056;0.0579;0.4296;0.4765;0.6204;0.001;0.3646;0.8821;0.007;0.7183;0.001;0.2318;0.1588;0.5195;0.9241;0.8162;0.002;0.0939;0.003;0.04;0.001;0.2338;0.8442;0.2747;0.7233;0.0589;0.7293;0.002;0.5734;0.8012;0.951;0.6324;0.5145;0.1708;0.0509;0.022;0.7612;0.2937;0.0809;0.6154;0.0619;0.026;0.9481;0.994;0.0549;0.4196;0.8601;0.9431;0.0519;0.2028
Lactobacillus_jensenii;0.001;0.001;0.0659;0.001;0.001;0.001;0.1269;0.001;1;0.0659;0.3986;0.001;0.2198;0.986;0.001;0.025;0.003;0.001;0.003;0.0579;0.004;0.5614;0.4625;0.1039;0.024;0.001;0.9311;0.955;0.001;0.2617;0.002;0.5764;0.1379;0.7722;0.005;0.1019;0.046;0.3866;0.0949;0.1019;0.023;0.8911;0.5784;0.4186;0.8012;0.1249;0.1309;0.017;0.2098;0.8591;0.0649;0.3586;0.8182;0.3077;0.002;0.5974;0.4316;0.6454;0.3606;0.8482;0.8601;0.2577;0.5425;0.6344;0.2527;0.6843;0.1818;0.8422;0.5734;0.9261
Gardnerella_leopoldii;0.2358;0.001;0.001;0.025;0.001;0.001;0.001;0.001;0.0659;1;0.5235;0.001;0.001;0.001;0.001;0.1379;0.001;0.1219;0.001;0.002;0.001;0.003;0.002;0.001;0.001;0.002;0.001;0.001;0.001;0.5854;0.001;0.024;0.3477;0.7173;0.001;0.02;0.001;0.001;0.001;0.001;0.001;0.003;0.1359;0.029;0.2717;0.011;0.7213;0.001;0.024;0.031;0.001;0.7163;0.001;0.001;0.001;0.005;0.4006;0.006;0.001;0.019;0.003;0.001;0.2827;0.018;0.001;0.0849;0.048;0.3866;0.009;0.006
